Category,Control Requirement
,"1635.12b1Organizational.2
Information security aspects of business continuity are: (i) based on identifying events (or sequence of events) that can cause interruptions to the organization's critical business processes (e.g., equipment failure, human errors, theft, fire, natural disasters acts of terrorism); (ii) followed by a risk assessment to determine the probability and impact of such interruptions, in terms of time, damage scale and recovery period; (iii) based on the results of the risk assessment, a business continuity strategy is developed to identify the overall approach to business continuity; and, (iv) once this strategy has been created, endorsement is provided by management, and a plan created and endorsed to implement this strategy.
"
,"1637.12b2Organizational.2
Business impact analyses are used to evaluate the consequences of disasters, security failures, loss of service, and service availability.
"
,"1638.12b2Organizational.345
Business continuity risk assessments: (i) are carried out annually with full involvement from owners of business resources and processes; (ii) consider all business processes and is not limited to the information assets, but includes the results specific to information security; and, (iii) identifies, quantifies, and prioritizes risks against key business objectives and criteria relevant to the organization, including critical resources, impacts of disruptions, allowable outage times, and recovery priorities.
"
,"1704.03b1Organizational.12
The organization performs risk assessments in a consistent way and at planned intervals, or when there are major changes to the organization's environment, and reviews the risk assessment results annually.
"
,"1705.03b2Organizational.12
The organization updates the results of a formal, comprehensive risk assessment every two years; as well, when there is a significant change to the information system or operational environment, assesses a subset of the security controls within every 365 days during continuous monitoring, and reviews the risk assessment results annually.
"
,"1706.03bHIPAAOrganizational.3
Risk assessments include the evaluation of multiple factors that may impact security as well as the likelihood and impact from a loss of confidentiality, integrity and availability of information and systems.
"
,"1733.03d1Organizational.1
The risk management program includes the requirement that risk assessments be re-evaluated at least annually, or when there are significant changes in the environment.
"
,"1735.03d2Organizational.23
Risk assessments are conducted whenever there is a significant change in the environment, or a change that could have a significant impact, and the results of the assessments are included in the change management process, so they may guide the decisions within the change management process (e.g., approvals for changes).
"
,"1736.03d2Organizational.4
The organization updates the risk assessment before issuing a new formal authorization to operate or within every three years, whichever comes first, or when conditions occur that may impact the security or authorization state of the system.
"
,"1737.03d2Organizational.5
The privacy, security and risk management program(s) is/are updated to reflect changes in risks.
"
ID.RA-6:  Risk responses are identified and prioritized,"0601.06g1Organizational.124
Annual compliance reviews are conducted by security or audit individuals using manual or automated tools; if non-compliance is found, appropriate action is taken.
"
,"0613.06h1Organizational.12
The organization performs annual checks on the technical security configuration of systems, either manually by an individual with experience with the systems and/or with the assistance of automated software tools, and takes appropriate action if non-compliance is found.
"
,"0709.10m1Organizational.1
Technical vulnerabilities are identified, evaluated for risk, and corrected in a timely manner.
"
,"1416.10l1Organizational.1
Where software development is outsourced, formal contracts are in place to address the ownership and security of the code and application.
"
,"1707.03c1Organizational.12
The organization uses a formal methodology with defined criteria for determining risk treatments and ensuring that corrective action plans for the security program and the associated organizational information systems are prioritized and maintained; and the remedial information security actions necessary to mitigate risk to organizational operations and assets, individuals, and other organizations are documented.
"
,"1708.03c2Organizational.12
A risk treatment plan that identifies risks and nonconformities, corrective actions, resources, responsibilities and priorities for managing information security risks is regularly reviewed and updated.
"
"ID.RM-1:  Risk management processes are established, managed, and agreed to by organizational stakeholders","0117.05a1Organizational.1
A senior-level information security official is appointed and is responsible for ensuring security processes are in place, communicated to all stakeholders, and consider and address organizational requirements.
"
,"0118.05a1Organizational.2
Senior management assigns an individual or group to ensure the effectiveness of the information protection program through program oversight; establish and communicate the organization's priorities for organizational mission, objectives, and activities; review and update of the organization's security plan; ensure compliance with the security plan by the workforce; and evaluate and accept security risks on behalf of the organization.
"
,"0177.05h1Organizational.12
An independent review of the organization's information security management program is initiated by management to ensure the continuing suitability, adequacy, and effectiveness of the organization's approach to managing information security.
"
,"0178.05h1Organizational.3
The results of independent security program reviews are recorded and reported to the management official/office initiating the review; and the results are maintained for a predetermined period of time as determined by the organization, but not less than three years.
"
,"0179.05h1Organizational.4
If an independent review identifies that the organization's approach and implementation to managing information security is inadequate or not compliant with the direction for information security stated in the information security policy document, management takes corrective actions.
"
,"1153.01c3System.35
All file system access not explicitly required is disabled, and only authorized users are permitted access to only that which is expressly required for the performance of the users' job duties.
"
,"1154.01c3System.4
Contractors are provided with minimal system and physical access only after the organization assesses the contractor's ability to comply with its security requirements and the contractor agrees to comply.
"
,"1401.05i1Organizational.1239
Access to the organization’s information and systems by external parties is not permitted until due diligence has been conducted, the appropriate controls have been implemented, and a contract/agreement reflecting the security requirements is signed acknowledging they understand and accept their obligations.
"
,"1404.05i2Organizational.1
Due diligence of the external party includes interviews, document review, checklists, certification reviews (e.g., HITRUST) or other remote means.
"
,"1418.05i1Organizational.8
The identification of risks related to external party access takes into account a minimal set of specifically defined issues.
"
,"1704.03b1Organizational.12
The organization performs risk assessments in a consistent way and at planned intervals, or when there are major changes to the organization's environment, and reviews the risk assessment results annually.
"
,"1706.03bHIPAAOrganizational.3
Risk assessments include the evaluation of multiple factors that may impact security as well as the likelihood and impact from a loss of confidentiality, integrity and availability of information and systems.
"
ID.RM-2:  Organizational risk tolerance is determined and clearly expressed,"0177.05h1Organizational.12
An independent review of the organization's information security management program is initiated by management to ensure the continuing suitability, adequacy, and effectiveness of the organization's approach to managing information security.
"
,"0179.05h1Organizational.4
If an independent review identifies that the organization's approach and implementation to managing information security is inadequate or not compliant with the direction for information security stated in the information security policy document, management takes corrective actions.
"
,"1401.05i1Organizational.1239
Access to the organization’s information and systems by external parties is not permitted until due diligence has been conducted, the appropriate controls have been implemented, and a contract/agreement reflecting the security requirements is signed acknowledging they understand and accept their obligations.
"
,"1418.05i1Organizational.8
The identification of risks related to external party access takes into account a minimal set of specifically defined issues.
"
ID.RM-3:  The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,"0177.05h1Organizational.12
An independent review of the organization's information security management program is initiated by management to ensure the continuing suitability, adequacy, and effectiveness of the organization's approach to managing information security.
"
,"0179.05h1Organizational.4
If an independent review identifies that the organization's approach and implementation to managing information security is inadequate or not compliant with the direction for information security stated in the information security policy document, management takes corrective actions.
"
,"1635.12b1Organizational.2
Information security aspects of business continuity are: (i) based on identifying events (or sequence of events) that can cause interruptions to the organization's critical business processes (e.g., equipment failure, human errors, theft, fire, natural disasters acts of terrorism); (ii) followed by a risk assessment to determine the probability and impact of such interruptions, in terms of time, damage scale and recovery period; (iii) based on the results of the risk assessment, a business continuity strategy is developed to identify the overall approach to business continuity; and, (iv) once this strategy has been created, endorsement is provided by management, and a plan created and endorsed to implement this strategy.
"
,"1637.12b2Organizational.2
Business impact analyses are used to evaluate the consequences of disasters, security failures, loss of service, and service availability.
"
,"1638.12b2Organizational.345
Business continuity risk assessments: (i) are carried out annually with full involvement from owners of business resources and processes; (ii) consider all business processes and is not limited to the information assets, but includes the results specific to information security; and, (iii) identifies, quantifies, and prioritizes risks against key business objectives and criteria relevant to the organization, including critical resources, impacts of disruptions, allowable outage times, and recovery priorities.
"
"ID.SC-1:  Cyber supply chain risk management processes are identified, established, assessed, managed, and agreed to by organizational stakeholders","0835.09n1Organizational.1
Agreed services provided by a network service provider/manager are formally managed and monitored to ensure they are provided securely.
"
,"1407.05k2Organizational.1
The specific limitations of access, arrangements for compliance auditing, penalties, and the requirement for notification of third-party personnel transfers and terminations are identified in the agreement with the third-party.
"
"ID.SC-2:  Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process","

"
ID.SC-3:  Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization’s cybersecurity program and Cyber Supply Chain Risk Management Plan,"0888.09n2Organizational.6
The contract with the external/outsourced service provider includes the specification that the service provider is responsible for the protection of covered information shared.
"
"ID.SC-4:  Suppliers and third-party partners are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual obligations.","1206.09aa2System.23
Auditing is always available while the system is active and tracks key events, success/failed data access, system security configuration changes, privileged or utility use, any alarms raised, activation and de-activation of protection systems (e.g., A/V and IDS), activation and deactivation of identification and authentication mechanisms, and creation and deletion of system-level objects.
"
,"1270.09ad1System.12
The organization ensures proper logging is enabled in order to audit administrator activities; and reviews system administrator and operator logs on a regular basis.
"
ID.SC-5:  Response and recovery planning and testing are conducted with suppliers and third-party providers,"1521.11c2Organizational.56
Testing exercises are planned, coordinated, executed, and documented periodically, at least annually, using reviews, analyses, and simulations to determine incident response effectiveness. Testing includes personnel associated with the incident handling team to ensure that they understand current threats and risks, as well as their responsibilities in supporting the incident handling team.
"
,"1616.09l1Organizational.16
Backup copies of information and software are made, and tests of the media and restoration procedures are regularly performed at appropriate intervals.
"
PR.AC-1:  Identities and credentials are managed for authorized devices and users,"0820.09m2Organizational.1
The organization uniquely identifies and authenticates network devices that require authentication mechanisms before establishing a connection that, at a minimum, use shared information (i.e., MAC or IP address) and access control lists to control remote network access.
"
,"0861.09m2Organizational.67
To identify and authenticate devices on local and/or wide area networks, including wireless networks, the information system uses either a (i) shared known information solution, or (ii) an organizational authentication solution, the exact selection and strength of which is dependent on the security categorization of the information system.
"
,"1002.01d1System.1
Passwords are not displayed when entered.
"
,"1003.01d1System.3
User identities are verified prior to performing password resets.
"
,"1004.01d1System.8913
The organization maintains a list of commonly-used, expected, or compromised passwords, and updates the list (i) at least every 180 days and (ii) when organizational passwords are suspected to have been compromised (either directly or indirectly); allows users to select long passwords and passphrases, including spaces and all printable characters; employs automated tools to assist the user in selecting strong passwords and authenticators; and verifies, when users create or update passwords, that the passwords are not found on the organization-defined list of commonly-used, expected, or compromised passwords.
"
,"1005.01d1System.1011
The organization transmits passwords only when cryptographically-protected and stores passwords using an approved hash algorithm.
"
,"1006.01d2System.1
Passwords are not included in automated log-on processes.
"
,"1007.01d2System.2
Passwords are encrypted during transmission and storage on all system components.
"
,"1008.01d2System.3
Users sign a statement acknowledging their responsibility to keep passwords confidential.
"
,"1009.01d2System.4
Temporary passwords are unique and not guessable.
"
,"1010.01d2System.5
Identification codes used in conjunction with passwords for electronic signatures are protected.
"
,"1015.01d1System.14
Users acknowledge receipt of passwords.
"
,"1031.01d1System.34510
The organization changes passwords for default system accounts, whenever there is any indication of password compromise, at first logon following the issuance of a temporary password, and requires immediate selection of a new password upon account recovery.
"
,"1106.01b1System.1
User identities are verified prior to establishing accounts.
"
,"1107.01b1System.2
Default and unnecessary system accounts are removed, disabled, or otherwise secured (e.g., the passwords are changed and privileges are reduced to the lowest levels of access).
"
,"1108.01b1System.3
Account managers are notified when users' access rights change (e.g., termination, change in position) and modify the user's account accordingly.
"
,"1109.01b1System.479
User registration and deregistration, at a minimum: (i) communicates relevant policies to users and require acknowledgement (e.g., signed or captured electronically); (ii) checks authorization and minimum level of access necessary prior to granting access; (iii) ensures access is appropriate to the business needs (consistent with sensitivity/risk and does not violate segregation of duties requirements); (iv) addresses termination and transfer; (v) ensures default accounts are removed and/or renamed; (vi) removes or blocks critical access rights of users who have changed roles or jobs; and, (vii) automatically removes or disables inactive accounts.
"
,"1110.01b1System.5
Users are given a written statement of their access rights, which they are required to sign stating they understand the conditions of access. Guest/anonymous, shared/group, emergency and temporary accounts are specifically authorized and use monitored.
"
,"11109.01q1Organizational.57
The organization ensures that redundant user IDs are not issued to other users and that all users are uniquely identified and authenticated for both local and remote access to information systems.
"
,"1111.01b2System.1
Group, shared or generic accounts and passwords (e.g., for first-time log-on) are not used.
"
,"11110.01q1Organizational.6
Non-organizational users, or processes acting on behalf of non-organizational users, determined to need access to information residing on the organization's information systems, are uniquely identified and authenticated.
"
,"11112.01q2Organizational.67
The information system employs replay-resistant authentication mechanisms such as nonce, one-time passwords, or time stamps to secure network access for privileged accounts.
"
,"1112.01b2System.2
User identities are verified in person before a designated registration authority with authorization by a designated organizational official (e.g., a supervisor or other individual defined in an applicable security plan) prior to receiving a hardware token.
"
,"11154.02i1Organizational.5
Access rights to information assets and facilities is reduced or removed before the employment or other workforce arrangement terminates or changes, depending on the evaluation of risk factors.
"
,"11155.02i2Organizational.2
The organization employs automated mechanisms to notify specific personnel or roles (formally defined by the organization) upon termination of an individual.
"
,"1116.01j1Organizational.145
Strong authentication methods are implemented for all external connections to the organization’s network.
"
,"1118.01j2Organizational.124
The organization has implemented encryption (e.g., VPN solutions or private lines) and logs remote access to the organization's network by employees, contractors, or third-party.
"
,"1122.01q1System.1
Unique IDs that can be used to trace activities to the responsible individual are required for all types of organizational and non-organizational users.
"
,"1123.01q1System.2
Users who perform privileged functions (e.g., system administration) use separate accounts when performing those privileged functions.
"
,"1124.01q1System.34
Shared/group and generic user IDs are only used in exceptional circumstances where there is a clear business benefit, when user functions do not need to be traced, additional accountability controls are implemented, and after approval by management.
"
,"1125.01q2System.1
Multi-factor authentication methods are used in accordance with organizational policy (e.g., for remote network access).
"
,"1127.01q2System.3
Where tokens are provided for multi-factor authentication, in-person verification is required prior to granting access.
"
,"1128.01q2System.5
Help desk support requires user identification for any transaction that has information security implications.
"
,"1135.02i1Organizational.1234
Upon termination or changes in employment for employees, contractors, third-party users, or other workforce arrangement, physical and logical access rights and associated materials (e.g., passwords, keycards, keys, documentation that identify them as current members of the organization) are removed or modified to restrict access within 24 hours and old accounts are closed after 90 days of opening new accounts.
"
,"1136.02i2Organizational.1
For instances of increased risk, physical, and logical access rights are immediately removed or modified following employee, contractor or third-party user termination, and allow for immediate escorting from the site, if necessary.
"
,"1139.01b1System.68
Account types are identified (individual, shared/group, system, application, guest/anonymous, emergency and temporary), conditions for group and role membership are established, and, if used, shared/group account credentials are modified when users are removed from the group.
"
,"1146.01c2System.23
The organization promotes the development and use of programs that avoid the need to run with elevated privileges and system routines to avoid the need to grant privileges to users.
"
,"1147.01c2System.456
Elevated privileges are assigned to a different user ID from those used for normal business use, all users access privileged services in a single role, and such privileged access is minimized.
"
,"1148.01c2System.78
The organization restricts access to privileged functions and all security-relevant information.
"
,"1166.01e1System.12
User access rights are reviewed after any changes and reallocated as necessary.
"
,"1168.01e2System.2
The organization reviews critical system accounts and privileged access rights every 60 days; all other accounts, including user access and changes to access authorizations, are reviewed every 90 days.
"
,"1174.01j1Organizational.7
The organization protects wireless access to systems containing sensitive information by authenticating both users and devices.
"
,"1175.01j1Organizational.8
Remote access to business information across public networks only takes place after successful identification and authentication.
"
,"1178.01j2Organizational.7
Node authentication, including cryptographic techniques (e.g., machine certificates), can serve as an alternative means of authenticating groups of remote users where they are connected to a secure, shared computer facility.
"
,"1424.05j2Organizational.5
The organization has a formal mechanism to authenticate the customer's identity prior to granting access to covered information.
"
PR.AC-2:  Physical access to assets is managed and protected,"0401.01x1System.124579
Mobile computing devices are protected at all times by access controls, usage restrictions, connection requirements, encryption, virus protections, host-based firewalls, or equivalent functionality, secure configurations, and physical protections.
"
,"0407.01y2Organizational.1
Prior to authorizing teleworking, the physical security of the teleworking site is evaluated and any threats/issues identified are addressed.
"
,"0415.01y1Organizational.10
Suitable protections of the teleworking site are in place to protect against the theft of equipment and information, the unauthorized disclosure of information, and unauthorized remote access to the organization's internal systems or misuse of facilities.
"
,"1193.01l2Organizational.13
Controls for the access to diagnostic and configuration ports include the use of a key lock and the implementation of supporting procedures to control physical access to the port.
"
,"1309.01x1System.36
Personnel using mobile computing devices are trained on the risks, the controls implemented, and their responsibilities (e.g., shoulder surfing, physical protections).
"
,"1801.08b1Organizational.124
Visitor and third-party support access is recorded and supervised unless previously approved.
"
,"1802.08b1Organizational.3
Areas where sensitive information (e.g., covered information, payment card data) is stored or processed are controlled and restricted to authorized individuals only.
"
,"1803.08b1Organizational.5
Repairs or modifications to the physical components of a facility which are related to security (e.g., hardware, walls, doors and locks) are documented and retained in accordance with the organization's retention policy.
"
,"1804.08b2Organizational.12
A visitor log containing appropriate information is reviewed monthly and maintained for at least two years.
"
,"1805.08b2Organizational.3
Physical authentication controls are used to authorize and validate access.
"
,"1807.08b2Organizational.56
Visible identification that clearly identifies the individual is required to be worn by employees, visitors, contractors and third-parties.
"
,"1808.08b2Organizational.7
Physical access rights are reviewed every 90 days and updated accordingly.
"
,"1844.08b1Organizational.6
The organization develops, approves and maintains a list of individuals with authorized access to the facility where the information system resides; issues authorization credentials for facility access; reviews the access list and authorization credentials periodically but no less than quarterly; and removes individuals from the facility access list when access is no longer required.
"
,"1845.08b1Organizational.7
For facilities where the information system resides, the organization enforces physical access authorizations at defined entry/exit points to the facility where the information system resides, maintains physical access audit logs, and provides security safeguards that the organization determines necessary for areas officially designated as publicly accessible.
"
,"1848.08b2Organizational.11
A restricted area, security room, or locked room is used to control access to areas containing covered information, and is controlled accordingly.
"
,"1892.01l1Organizational.1
Access to network equipment is physically protected.
"
PR.AC-3:  Remote access is managed,"0405.01y1Organizational.12345678
Teleworking activities are only authorized if security arrangements and controls that comply with relevant security policies and organizational requirements are in place.
"
,"0415.01y1Organizational.10
Suitable protections of the teleworking site are in place to protect against the theft of equipment and information, the unauthorized disclosure of information, and unauthorized remote access to the organization's internal systems or misuse of facilities.
"
,"0814.01n1Organizational.12
The ability of users to connect to the internal network is restricted using a deny-by-default and allow-by-exception policy at managed interfaces according to the access control policy and the requirements of its business applications.
"
,"0902.09s2Organizational.13
Remote (external) access to the organization's information assets and access to external information assets (for which the organization has no control) is based on clearly defined terms and conditions.
"
,"0915.09s2Organizational.2
The organization limits the use of organization-controlled portable storage media by authorized individuals on external information systems.
"
,"11112.01q2Organizational.67
The information system employs replay-resistant authentication mechanisms such as nonce, one-time passwords, or time stamps to secure network access for privileged accounts.
"
,"1116.01j1Organizational.145
Strong authentication methods are implemented for all external connections to the organization’s network.
"
,"1117.01j1Organizational.23
Remote access by vendors and business partners (e.g., for remote maintenance) is disabled/deactivated when not in use.
"
,"1118.01j2Organizational.124
The organization has implemented encryption (e.g., VPN solutions or private lines) and logs remote access to the organization's network by employees, contractors, or third-party.
"
,"1125.01q2System.1
Multi-factor authentication methods are used in accordance with organizational policy (e.g., for remote network access).
"
,"1127.01q2System.3
Where tokens are provided for multi-factor authentication, in-person verification is required prior to granting access.
"
,"1134.01v3System.1
Copy, move, print, and storage of sensitive data are prohibited when accessed remotely without a defined business need.
"
,"1173.01j1Organizational.6
If encryption is not used for dial-up connections, the CIO or his/her designated representative provides specific written authorization.
"
,"1174.01j1Organizational.7
The organization protects wireless access to systems containing sensitive information by authenticating both users and devices.
"
,"1175.01j1Organizational.8
Remote access to business information across public networks only takes place after successful identification and authentication.
"
,"1310.01y1Organizational.9
Personnel who telework are trained on the risks, the controls implemented, and their responsibilities.
"
,"1401.05i1Organizational.1239
Access to the organization’s information and systems by external parties is not permitted until due diligence has been conducted, the appropriate controls have been implemented, and a contract/agreement reflecting the security requirements is signed acknowledging they understand and accept their obligations.
"
,"1402.05i1Organizational.45
Remote access connections between the organization and external parties are encrypted.
"
,"1423.05j2Organizational.4
For all system connections that allow customers to access the organization's computing assets such as websites, kiosks, and public access terminals, the organization provides appropriate text or a link to the organization's privacy policy for data use and protection as well as the customer's responsibilities when accessing the data.
"
,"1424.05j2Organizational.5
The organization has a formal mechanism to authenticate the customer's identity prior to granting access to covered information.
"
"PR.AC-4:  Access permissions are managed, incorporating the principles of least privilege and separation of duties","0208.09j2Organizational.7
User functionality (including user interface services [e.g., web services]) is separated from information system management (e.g., database management systems) functionality.
"
,"0806.01m2Organizational.12356
The organization’s network is logically and physically segmented with a defined security perimeter and a graduated set of controls, including subnetworks for publicly accessible system components that are logically separated from the internal network, based on organizational requirements; traffic is controlled based on functionality required and classification of the data/systems based on a risk assessment and their respective security requirements.
"
,"1109.01b1System.479
User registration and deregistration, at a minimum: (i) communicates relevant policies to users and require acknowledgement (e.g., signed or captured electronically); (ii) checks authorization and minimum level of access necessary prior to granting access; (iii) ensures access is appropriate to the business needs (consistent with sensitivity/risk and does not violate segregation of duties requirements); (iv) addresses termination and transfer; (v) ensures default accounts are removed and/or renamed; (vi) removes or blocks critical access rights of users who have changed roles or jobs; and, (vii) automatically removes or disables inactive accounts.
"
,"1110.01b1System.5
Users are given a written statement of their access rights, which they are required to sign stating they understand the conditions of access. Guest/anonymous, shared/group, emergency and temporary accounts are specifically authorized and use monitored.
"
,"11154.02i1Organizational.5
Access rights to information assets and facilities is reduced or removed before the employment or other workforce arrangement terminates or changes, depending on the evaluation of risk factors.
"
,"11155.02i2Organizational.2
The organization employs automated mechanisms to notify specific personnel or roles (formally defined by the organization) upon termination of an individual.
"
,"1129.01v1System.12
Access rights to applications and application functions are limited to the minimum necessary using menus.
"
,"1130.01v2System.1
Access rights from an application to other applications are controlled.
"
,"1132.01v2System.3
Covered information is encrypted when stored in non-secure areas and, if not encrypted at rest, the organization documents its rationale.
"
,"1133.01v2System.4
Actions that can be performed without identification and authentication are permitted by exception.
"
,"1134.01v3System.1
Copy, move, print, and storage of sensitive data are prohibited when accessed remotely without a defined business need.
"
,"1135.02i1Organizational.1234
Upon termination or changes in employment for employees, contractors, third-party users, or other workforce arrangement, physical and logical access rights and associated materials (e.g., passwords, keycards, keys, documentation that identify them as current members of the organization) are removed or modified to restrict access within 24 hours and old accounts are closed after 90 days of opening new accounts.
"
,"1136.02i2Organizational.1
For instances of increased risk, physical, and logical access rights are immediately removed or modified following employee, contractor or third-party user termination, and allow for immediate escorting from the site, if necessary.
"
,"1139.01b1System.68
Account types are identified (individual, shared/group, system, application, guest/anonymous, emergency and temporary), conditions for group and role membership are established, and, if used, shared/group account credentials are modified when users are removed from the group.
"
,"1143.01c1System.123
Privileges are formally authorized and controlled, allocated to users on a need-to-use and event-by-event basis for their functional role (e.g., user or administrator), and documented for each system product/element.
"
,"1144.01c1System.4
The organization explicitly authorizes access to specific security relevant functions (deployed in hardware, software, and firmware) and security-relevant information.
"
,"1147.01c2System.456
Elevated privileges are assigned to a different user ID from those used for normal business use, all users access privileged services in a single role, and such privileged access is minimized.
"
,"1148.01c2System.78
The organization restricts access to privileged functions and all security-relevant information.
"
,"1149.01c2System.9
The organization facilitates information sharing by enabling authorized users to determine a business partner's access when discretion is allowed as defined by the organization and by employing manual processes or automated mechanisms to assist users in making information sharing/collaboration decisions.
"
,"1152.01c3System.2
The organization audits the execution of privileged functions on information systems and ensures information systems prevent non-privileged users from executing privileged functions.
"
,"1153.01c3System.35
All file system access not explicitly required is disabled, and only authorized users are permitted access to only that which is expressly required for the performance of the users' job duties.
"
,"1154.01c3System.4
Contractors are provided with minimal system and physical access only after the organization assesses the contractor's ability to comply with its security requirements and the contractor agrees to comply.
"
,"1166.01e1System.12
User access rights are reviewed after any changes and reallocated as necessary.
"
,"1167.01e2System.1
The organization maintains a documented list of authorized users of information assets.
"
,"1168.01e2System.2
The organization reviews critical system accounts and privileged access rights every 60 days; all other accounts, including user access and changes to access authorizations, are reviewed every 90 days.
"
,"1229.09c1Organizational.1
Separation of duties is used to limit the risk of unauthorized or unintentional modification of information and systems.
"
,"1230.09c2Organizational.1
No single person is able to access, modify, or use information systems without authorization or detection.
"
,"1231.09c2Organizational.23
Job descriptions define duties and responsibilities that support the separation of duties across multiple users.
"
,"1276.09c2Organizational.2
Security audit activities are independent.
"
,"1278.09c2Organizational.56
The organization identifies duties that require separation and defines information system access authorizations to support separation of duties; and incompatible duties are segregated across multiple users to minimize the opportunity for misuse or fraud.
"
,"1308.09j1Organizational.5
The organization prohibits users from installing unauthorized software, including data and software from external networks, and ensures users are made aware and trained on these requirements.
"
,"1401.05i1Organizational.1239
Access to the organization’s information and systems by external parties is not permitted until due diligence has been conducted, the appropriate controls have been implemented, and a contract/agreement reflecting the security requirements is signed acknowledging they understand and accept their obligations.
"
,"1403.05i1Organizational.67
Access granted to external parties is limited to the minimum necessary and granted only for the duration required.
"
"PR.AC-5:  Network integrity is protected, incorporating network segregation where appropriate","0504.09m2Organizational.5
Firewalls are configured to deny or control any traffic from a wireless environment into the covered data environment.
"
,"0805.01m1Organizational.12
The organization's security gateways (e.g., firewalls) (i) enforce security policies; (ii) are configured to filter traffic between domains; (iii) block unauthorized access; (iv) are used to maintain segregation between internal wired, internal wireless, and external network segments (e.g., the Internet), including DMZs; and, (vi) enforce access control policies for each of the domains.
"
,"0806.01m2Organizational.12356
The organization’s network is logically and physically segmented with a defined security perimeter and a graduated set of controls, including subnetworks for publicly accessible system components that are logically separated from the internal network, based on organizational requirements; traffic is controlled based on functionality required and classification of the data/systems based on a risk assessment and their respective security requirements.
"
,"0809.01n2Organizational.1234
Network traffic is controlled in accordance with the organization’s access control policy through firewall and other network-related restrictions for each network access point or external telecommunication service's managed interface.
"
,"0812.01n2Organizational.8
Remote devices establishing a non-remote connection are not allowed to communicate with external (remote) resources.
"
,"0814.01n1Organizational.12
The ability of users to connect to the internal network is restricted using a deny-by-default and allow-by-exception policy at managed interfaces according to the access control policy and the requirements of its business applications.
"
,"0815.01o2Organizational.123
Requirements for network routing control are based on the access control policy, including positive source and destination checking mechanisms, such as firewall validation of source/destination addresses, and the hiding of internal directory services and IP addresses. The organization designed and implemented network perimeters so that all outgoing network traffic to the Internet passes through at least one application layer filtering proxy server. The proxy supports decrypting network traffic, logging individual TCP sessions, blocking specific URLs, domain names, and IP addresses to implement a blacklist, and applying whitelists of allowed sites that can be accessed through the proxy while blocking all other sites. The organization forces outbound traffic to the Internet through an authenticated proxy server on the enterprise perimeter.
"
,"0817.01w2System.123
Unless the risk is identified and accepted by the data owner, sensitive systems are isolated (physically or logically) from non-sensitive applications/systems.
"
,"0821.09m2Organizational.2
The organization tests and approves all network connections and firewall, router, and switch configuration changes prior to implementation. Any deviations from the standard configuration or updates to the standard configuration are documented and approved in a change control system. All new configuration rules beyond a baseline-hardened configuration that allow traffic to flow through network security devices, such as firewalls and network-based IPS, are also documented and recorded, with a specific business reason for each change, a specific individual’s name responsible for that business need, and an expected duration of the need.
"
,"0850.01o1Organizational.12
Routing controls are implemented through security gateways (e.g., firewalls) used between internal and external networks (e.g., the Internet and third-party networks).
"
PR.AC-6:  Identities are proofed and bound to credentials and asserted in interactions,"1106.01b1System.1
User identities are verified prior to establishing accounts.
"
,"1109.01b1System.479
User registration and deregistration, at a minimum: (i) communicates relevant policies to users and require acknowledgement (e.g., signed or captured electronically); (ii) checks authorization and minimum level of access necessary prior to granting access; (iii) ensures access is appropriate to the business needs (consistent with sensitivity/risk and does not violate segregation of duties requirements); (iv) addresses termination and transfer; (v) ensures default accounts are removed and/or renamed; (vi) removes or blocks critical access rights of users who have changed roles or jobs; and, (vii) automatically removes or disables inactive accounts.
"
,"1147.01c2System.456
Elevated privileges are assigned to a different user ID from those used for normal business use, all users access privileged services in a single role, and such privileged access is minimized.
"
"PR.AC-7:  Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)","1133.01v2System.4
Actions that can be performed without identification and authentication are permitted by exception.
"
PR.AT-1:  All users are informed and trained ,"0109.02d1Organizational.4
Management ensures users are (i) briefed on their security role(s)/responsibilities, conform with the terms and conditions of employment prior to obtaining access to the organization’s information systems; (ii) provided with guidelines regarding the security expectations of their roles; (iii) motivated to comply with security policies; and, (iv) continue to have the appropriate skills and qualifications for their role(s).
"
,"0111.02d2Organizational.2
Non-employees are provided the organization's data privacy and security policy requirements prior to accessing system resources and data.
"
,"0401.01x1System.124579
Mobile computing devices are protected at all times by access controls, usage restrictions, connection requirements, encryption, virus protections, host-based firewalls, or equivalent functionality, secure configurations, and physical protections.
"
,"0901.09s1Organizational.1
The organization formally addresses multiple safeguards before allowing the use of information systems for information exchange.
"
,"1301.02e1Organizational.12
Employees and contractors receive documented initial (as part of their onboarding within 60 days of hire), annual, and ongoing training on their roles related to security and privacy.
"
,"1302.02e2Organizational.134
Dedicated security and privacy awareness training is developed as part of the organization's onboarding program, is documented and tracked, and includes the recognition and reporting of potential indicators of an insider threat.
"
